-407, -292, 1359
-369, -291, 1263
-310, -296, 1153
-270, -267, 1070
-195, -240, 1051
-96, -219, 1055
9, -208, 978
9, -208, 978
97, -195, 857
185, -183, 761
277, -142, 724
447, -69, 814
589, -64, 918
589, -64, 918
670, -69, 994
678, -42, 1049
689, 11, 1126
693, 35, 1375
627, 53, 1464
538, 100, 1377
538, 100, 1377
434, 139, 1253
324, 138, 1158
233, 131, 1173
135, 174, 1103
-,-,-
414, -445, 729
455, -486, 780
462, -472, 813
487, -477, 879
553, -525, 914
568, -543, 953
593, -557, 944
593, -557, 944
607, -569, 923
615, -585, 876
591, -579, 822
523, -542, 809
485, -528, 786
438, -533, 714
359, -518, 596
319, -502, 517
319, -502, 517
288, -486, 498
255, -477, 460
182, -487, 365
107, -470, 331
63, -456, 380
-14, -429, 388
-55, -434, 482
-55, -434, 482
-77, -447, 555
-133, -450, 593
-231, -440, 622
-273, -418, 723
-297, -386, 842
-306, -375, 961
-339, -365, 989
-410, -343, 1039
-452, -332, 1165
-458, -322, 1220
-471, -283, 1169
-438, -264, 1100
-411, -239, 1133
-334, -244, 1094
-216, -287, 967
-121, -285, 897
30, -265, 811
173, -222, 848
173, -222, 848
385, -152, 890
639, -116, 1034
836, -58, 1152
959, -38, 1279
1049, -8, 1410
1056, 61, 1557
952, 125, 1525
796, 155, 1416
796, 155, 1416
662, 162, 1206
513, 182, 1035
371, 181, 932
277, 168, 895
164, 195, 815
15, 198, 819
15, 198, 819
-105, 166, 858
-189, 171, 904
-322, 210, 922
-395, 232, 993
-509, 312, 1122
-,-,-
101, -250, 1166
157, -260, 1240
216, -282, 1232
216, -282, 1232
246, -304, 1280
267, -279, 1227
282, -261, 1202
332, -290, 1295
421, -318, 1355
475, -311, 1315
513, -316, 1198
541, -339, 1127
520, -356, 1128
501, -334, 1036
494, -326, 912
473, -355, 840
429, -374, 778
429, -374, 778
401, -381, 653
381, -421, 559
344, -432, 536
320, -439, 523
304, -453, 420
284, -484, 369
270, -489, 367
